index,text
10004,त्यो आँ गरेको अन्वार मा झिँगा पस्न सक्छ है? हिजो अस्ति माओवादी को लागि भोट माग्दै हिँड्ने यहि गगने होइन र?
10005,निर्वाचन परिणाम ले बल्ल बुद्धि आयो?
10007,पोखराको मेयर उम्मेदवारी दिन कृष्ण थापाले दिए सांसदबाट राजीनामा
10011,दलित महिला सदस्यमा उम्मेदवारी परेन
10018,पार्टी निर्णय बिपरीत उम्मेद्वारी दिने दिनेलाई साधारण सदस्य नरहनेगरी कारबाही हुन्छः सुनसरी काँग्रेस
10023,"चुनावी सभालाई सम्बोधन गर्न देश दौडाहमा निस्कँदै देउवा, कहिले कहाँ ?"
10029,हेटौंडा उपमहानगरपालिकाको मेयरमा राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)ले सत्तारुढ गठबन्धनलाई पछ्याउन थालेको छ।
10049,बिरोधाभाष जस्तो देखिए पछि स्पष्टीकरण दिन मन लाग्यो!  अमुग स्वतन्त्र उम्मेदवारको आलोचना गर्नु स्वतन्त्र उम्मेद्बारीको आलोचना होइन! हरेकलाई जनप्रतिनिधि बन्न हक छ!  स्वतन्त्रले एक्लै जिते काम गर्न सक्दैनौ ( टिम बनाउ) भन्नुको अर्थ उम्मेदवारमा गल्ती देखेर होइन ! बरु
10055,"निर्वाचन आयोगका अनुसार स्थानीय तह निर्वाचन अन्तर्गत माछापुच्छ्रे गाउँपालिका प्रमुखमा नेपाली कांग्रेस उम्मेदवार मिनबहादुर गुरुङ , मत ल्याई विजयी भएका छन् । उनले निकटतम प्रतिद्वन्द्वी नेपाल कम्युनिष्ट पार्टी (एमाले) उम्मेदवार विक्रम गुरुङलाई मतान्तरले पराजित गरेका।"
10057," अब क्रमशः नागरिक समाज, स्वतन्त्र बुद्धिजीवी, पुर्व प्रधानन्यायाधीशहरू, पुर्व निर्वाचन आयुक्तहरू, पुर्व मुख्य सचिव-सचिवहरू, अधिकारकर्मी, चिकित्सक, उद्योगी, व्यवसायी, पेशागत संग संगठनहरूको पनि आउला कि झैँ लाग्यो सर।"
10072,रुपन्देहीमा को उम्मेदवारी फिर्ता
10091,लौ चितवन देउवा दाई जाने कि आरजु भाउजू ? कि प्याधा बनेका खाण वा रामचन्द्र पौडेल जाने हो?  हजारे आतंककारी को त के कुरो गर्नु र???
10093,आज वैशाष मा सम्पन्न बिराटनगर महानगरपालिकाको निर्वाचन सभाको तस्वीर।
10095,"कोहि सिस्टम हार्यो भनेर रोए, कोहि भाउजू, कोहि पार्टी हारो भनेर रोए    ए असार नआम्दै बाढी आम्ने भओ कोहि भोटै नपाएर रोए कलम समातेर "
